BCW,1,lpnorm,2,0.749,0.112
BCW,1,lpnorm,3,0.749,0.112
BCW,1,lpnorm,4,0.749,0.112
BCW,1,lpnorm,5,0.749,0.112
BCW,1,lpnorm,6,0.749,0.112
BCW,2,lpnorm,2,0.749,0.112
BCW,2,lpnorm,3,0.749,0.112
BCW,2,lpnorm,4,0.749,0.112
BCW,2,lpnorm,5,0.749,0.112
BCW,2,lpnorm,6,0.749,0.112
BCW,3,lpnorm,2,0.749,0.112
BCW,3,lpnorm,3,0.749,0.112
BCW,3,lpnorm,4,0.749,0.112
BCW,3,lpnorm,5,0.749,0.112
BCW,3,lpnorm,6,0.749,0.112
BCW,4,lpnorm,2,0.749,0.112
BCW,4,lpnorm,3,0.749,0.112
BCW,4,lpnorm,4,0.749,0.112
BCW,4,lpnorm,5,0.749,0.112
BCW,4,lpnorm,6,0.749,0.112
BCW,5,lpnorm,2,0.749,0.112
BCW,5,lpnorm,3,0.749,0.112
BCW,5,lpnorm,4,0.749,0.112
BCW,5,lpnorm,5,0.749,0.112
BCW,5,lpnorm,6,0.749,0.112
BCW,6,lpnorm,2,0.749,0.112
BCW,6,lpnorm,3,0.749,0.112
BCW,6,lpnorm,4,0.749,0.112
BCW,6,lpnorm,5,0.749,0.112
BCW,6,lpnorm,6,0.749,0.112
BCW,7,lpnorm,2,0.749,0.112
BCW,7,lpnorm,3,0.749,0.112
BCW,7,lpnorm,4,0.749,0.112
BCW,7,lpnorm,5,0.749,0.112
BCW,7,lpnorm,6,0.749,0.112
BCW,8,lpnorm,2,0.749,0.112
BCW,8,lpnorm,3,0.749,0.112
BCW,8,lpnorm,4,0.749,0.112
BCW,8,lpnorm,5,0.749,0.112
BCW,8,lpnorm,6,0.749,0.112
BCW,9,lpnorm,2,0.749,0.112
BCW,9,lpnorm,3,0.749,0.112
BCW,9,lpnorm,4,0.749,0.112
BCW,9,lpnorm,5,0.749,0.112
BCW,9,lpnorm,6,0.749,0.112
BCW,10,lpnorm,2,0.749,0.112
BCW,10,lpnorm,3,0.749,0.112
BCW,10,lpnorm,4,0.749,0.112
BCW,10,lpnorm,5,0.749,0.112
BCW,10,lpnorm,6,0.749,0.112
BCW,11,lpnorm,2,0.749,0.112
BCW,11,lpnorm,3,0.749,0.112
BCW,11,lpnorm,4,0.749,0.112
BCW,11,lpnorm,5,0.749,0.112
BCW,11,lpnorm,6,0.749,0.112
BCW,12,lpnorm,2,0.749,0.112
BCW,12,lpnorm,3,0.749,0.112
BCW,12,lpnorm,4,0.749,0.112
BCW,12,lpnorm,5,0.749,0.112
BCW,12,lpnorm,6,0.749,0.112
BCW,13,lpnorm,2,0.749,0.112
BCW,13,lpnorm,3,0.749,0.112
BCW,13,lpnorm,4,0.749,0.112
BCW,13,lpnorm,5,0.749,0.112
BCW,13,lpnorm,6,0.749,0.112
BCW,14,lpnorm,2,0.749,0.112
BCW,14,lpnorm,3,0.749,0.112
BCW,14,lpnorm,4,0.749,0.112
BCW,14,lpnorm,5,0.749,0.112
BCW,14,lpnorm,6,0.749,0.112
BCW,1,hamming,2,0.749,0.112
BCW,1,hamming,3,0.749,0.112
BCW,1,hamming,4,0.749,0.112
BCW,1,hamming,5,0.749,0.112
BCW,1,hamming,6,0.749,0.112
BCW,2,hamming,2,0.749,0.112
BCW,2,hamming,3,0.749,0.112
BCW,2,hamming,4,0.749,0.112
BCW,2,hamming,5,0.749,0.112
BCW,2,hamming,6,0.749,0.112
BCW,3,hamming,2,0.749,0.112
BCW,3,hamming,3,0.749,0.112
BCW,3,hamming,4,0.749,0.112
BCW,3,hamming,5,0.749,0.112
BCW,3,hamming,6,0.749,0.112
BCW,4,hamming,2,0.749,0.112
BCW,4,hamming,3,0.749,0.112
BCW,4,hamming,4,0.749,0.112
BCW,4,hamming,5,0.749,0.112
BCW,4,hamming,6,0.749,0.112
BCW,5,hamming,2,0.749,0.112
BCW,5,hamming,3,0.749,0.112
BCW,5,hamming,4,0.749,0.112
BCW,5,hamming,5,0.749,0.112
BCW,5,hamming,6,0.749,0.112
BCW,6,hamming,2,0.749,0.112
BCW,6,hamming,3,0.749,0.112
BCW,6,hamming,4,0.749,0.112
BCW,6,hamming,5,0.749,0.112
BCW,6,hamming,6,0.749,0.112
BCW,7,hamming,2,0.749,0.112
BCW,7,hamming,3,0.749,0.112
BCW,7,hamming,4,0.749,0.112
BCW,7,hamming,5,0.749,0.112
BCW,7,hamming,6,0.749,0.112
BCW,8,hamming,2,0.749,0.112
